FirstName,LastName,Username,Department,JobTitle,OUPath,Password,GroupMembership
John,Doe,jdoe,IT,System Administrator,"OU=IT Users,OU=Users,OU=Corporate,DC=lab,DC=local",Wha@t0005,IT-Team
Alice,Smith,asmith,Sales,Sales Manager,"OU=Sales Users,OU=Users,OU=Corporate,DC=lab,DC=local",Wha@t0005,Sales-Team
Bob,Jones,bjones,Finance,Accountant,"OU=Finance Users,OU=Users,OU=Corporate,DC=lab,DC=local",Wha@t0005,Finance-Team
Mary,Wilson,mwilson,HR,HR Coordinator,"OU=HR Users,OU=Users,OU=Corporate,DC=lab,DC=local",Wha@t0005,HR-Team
Tom,Khan,tkhan,IT,Help Desk,"OU=IT Users,OU=Users,OU=Corporate,DC=lab,DC=local",Wha@t0005,Helpdesk
Sarah,Lee,slee,Sales,Sales Rep,"OU=Sales Users,OU=Users,OU=Corporate,DC=lab,DC=local",Wha@t0005,Sales-Team
David,Brown,dbrown,Finance,Finance Analyst,"OU=Finance Users,OU=Users,OU=Corporate,DC=lab,DC=local",Wha@t0005,Finance-Team
Emma,Davis,edavis,HR,Recruiter,"OU=HR Users,OU=Users,OU=Corporate,DC=lab,DC=local",Wha@t0005,HR-Team
Mike,Garcia,mgarcia,IT,Network Admin,"OU=IT Users,OU=Users,OU=Corporate,DC=lab,DC=local",Wha@t0005,IT-Team
Lisa,Martinez,lmartinez,Sales,Account Executive,"OU=Sales Users,OU=Users,OU=Corporate,DC=lab,DC=local",Wha@t0005,Sales-Team
